Org,Org Abbreviation,Sub-org,Sub-org Abbreviation
Oak Ridge National Laboratory,OR,Physical Sciences - Biosciences Division,BS
Oak Ridge National Laboratory,OR,Physical Sciences - Chemical Sciences Division,CH
Oak Ridge National Laboratory,OR,Physical Sciences - Materials Science and Technology Division,MT
Oak Ridge National Laboratory,OR,Physical Sciences - Physics Division,PH
Oak Ridge National Laboratory,OR,Physical Sciences - Center for Nanophase Materials Sciences,CN
Oak Ridge National Laboratory,OR,Computing & Computational Sciences - Computational Sciences and Engineering Division,CE
Oak Ridge National Laboratory,OR,Computing & Computational Sciences - Computer Science and Mathematics Division,CM
Oak Ridge National Laboratory,OR,Computing & Computational Sciences - National Center for Computational Sciences,NC
Oak Ridge National Laboratory,OR,Energy Science & Technology - Buildings and Transportation Science Division,BT
Oak Ridge National Laboratory,OR,Energy Science & Technology - Electrification and Energy Infrastructures Division,EE
Oak Ridge National Laboratory,OR,Energy Science & Technology - Manufacturing Science Division,MF
Oak Ridge National Laboratory,OR,Fusion & Fission Energy & Science - Fusion Energy Division,FE
Oak Ridge National Laboratory,OR,Fusion & Fission Energy & Science - Nuclear Energy and Fuel Cycle Division,NE
Oak Ridge National Laboratory,OR,Isotope Science & Engineering - Enrichment Science and Engineering Division,ES
Oak Ridge National Laboratory,OR,Isotope Science & Engineering - Radioisotope Science and Technology Division,RS
Oak Ridge National Laboratory,OR,Isotope Science & Engineering - Isotope Processing and Manufacturing Division,IP
Oak Ridge National Laboratory,OR,National Security Sciences - Cyber Resilience and Intelligence Division,CR
Oak Ridge National Laboratory,OR,National Security Sciences - Geospatial Science and Human Security Division,GS
Oak Ridge National Laboratory,OR,Neutron Sciences - Neutron Scattering Division,NS
Oak Ridge National Laboratory,OR,Neutron Sciences - Neutron Technologies Division,NT
Oak Ridge National Laboratory,OR,Neutron Sciences - Research Accelerator Division,RA
